Company,FiscalYear,FiscalYearAD,CAR,NPL_Ratio,CD_Ratio,Cost_of_Funds,Base_Rate,Interest_Spread,ROE_derived,Loan_Growth_YoY,NPL_Ratio_lag1,CAR_lag1,CD_Ratio_lag1,Delta_NPL_lag1,Delta_CAR_lag1,NPL_dev,CAR_dev,ROE_dev,NPL_next_year,Delta_NPL_next_year,Deteriorate_next_year
NMB,2074/2075,2017/2018,15.88,0.88,77.72,7.46,10.7,3.16,12.030932799486695,,,,,,,0.275,2.7750000000000004,-3.994922004329222,0.82,-0.06000000000000005,0
NMB,2075/2076,2018/2019,15.32,0.82,76.88,7.26,9.86,4.26,13.233738507325333,,0.88,15.88,77.72,-0.06000000000000005,-0.5600000000000005,0.17499999999999993,2.0250000000000004,-4.1125922079109944,2.68,1.8600000000000003,1
NMB,2076/2077,2019/2020,14.56,2.68,72.68,6.99,8.95,4.05,10.881906432209325,30.75560191755324,0.82,15.32,76.88,1.8600000000000003,-0.7599999999999998,1.6900000000000002,1.200000000000001,-2.368282374098774,2.27,-0.41000000000000014,0
NMB,2077/2078,2020/2021,15.09,2.27,77.06,5.79,7.33,3.09,11.398410555654324,30.504915354369246,2.68,14.56,72.68,-0.41000000000000014,0.5299999999999994,1.4,1.3949999999999996,-1.6711887054284897,1.33,-0.94,0
NMB,2078/2079,2021/2022,13.76,1.33,87.75,5.86,9.38,4.05,13.603941475203271,16.417138363056544,2.27,15.09,77.06,-0.94,-1.33,0.3350000000000001,0.28500000000000014,0.6551202031286358,2.72,1.3900000000000001,1
NMB,2079/2080,2022/2023,12.8,2.72,83.46,7.34,10.37,3.99,11.91895863004772,7.699624326583233,1.33,13.76,87.75,1.3900000000000001,-0.9599999999999991,0.1200000000000001,-0.5649999999999977,-0.740268181030201,3.27,0.5499999999999998,1
NMB,2080/2081,2023/2024,12.82,3.27,83.91,7.31,8.42,3.99,8.037908269736873,2.6493146421870164,2.72,12.8,83.46,0.5499999999999998,0.019999999999999574,-0.08499999999999996,0.25,-2.575554192063125,3.72,0.4500000000000002,0
NMB,2081/2082,2024/2025,12.03,3.72,84.33,5.06,6.22,3.82,10.066299792824076,17.89683463224935,3.27,12.82,83.91,0.4500000000000002,-0.7900000000000009,1.1550000000000002,-1.1150000000000002,-0.8299025247855543,4.58,0.8599999999999999,1
NMB,2082/2083,2025/2026,12.07,4.58,81.88,4.05,5.89,3.89,2.7815734104098553,2.140276747128577,3.72,12.03,84.33,0.8599999999999999,0.040000000000000924,0.16999999999999993,-0.6950000000000003,0.07447317733883807,,,
PCBL,2072/2073,2015/2016,,,,,,,20.65981442015009,,,,,,,,,2.2780663433344444,,,
PCBL,2073/2074,2016/2017,,,,,,,13.760524951077752,,,,,,,,,0.019440531227296276,0.66,,
PCBL,2074/2075,2017/2018,12.54,0.66,75.22,8.04,10.47,4.28,16.53731673179076,,,,,,,0.05500000000000005,-0.5650000000000013,0.5114619279748425,0.92,0.26,0
PCBL,2075/2076,2018/2019,12.78,0.92,77.0,7.9,10.03,4.32,17.418537264432807,,0.66,12.54,75.22,0.26,0.2400000000000002,0.275,-0.5150000000000006,0.07220654919647984,1.54,0.62,1
PCBL,2076/2077,2019/2020,13.4,1.54,74.54,7.14,8.62,4.22,11.159883580128046,52.31164706505654,0.92,12.78,77.0,0.62,0.620000000000001,0.55,0.040000000000000924,-2.090305226180053,1.19,-0.3500000000000001,0
PCBL,2077/2078,2020/2021,15.1,1.19,79.6,5.74,7.21,4.09,13.604256286807864,22.563499286751064,1.54,13.4,74.54,-0.3500000000000001,1.6999999999999993,0.31999999999999995,1.4049999999999994,0.5346570257250498,1.4,0.20999999999999996,0
PCBL,2078/2079,2021/2022,13.33,1.4,87.2,8.31,9.99,4.37,13.360051533789633,9.44794023529812,1.19,15.1,79.6,0.20999999999999996,-1.7699999999999996,0.4049999999999999,-0.14499999999999957,0.4112302617149979,4.23,2.8300000000000005,1
PCBL,2079/2080,2022/2023,12.28,4.23,88.72,8.67,10.57,3.98,7.964608899790902,4.257654559852583,1.4,13.33,87.2,2.8300000000000005,-1.0500000000000007,1.6300000000000003,-1.084999999999999,-4.694617911287019,4.67,0.4399999999999995,0
PCBL,2080/2081,2023/2024,11.9,4.67,86.2,7.03,8.49,3.98,12.202998750335228,17.50357881123416,4.23,12.28,88.72,0.4399999999999995,-0.379999999999999,1.315,-0.6699999999999999,1.5895362885352302,5.56,0.8899999999999997,1
PCBL,2081/2082,2024/2025,11.74,5.56,83.39,5.21,6.49,3.69,11.939492506601795,15.947856652169518,4.67,11.9,86.2,0.8899999999999997,-0.16000000000000014,2.9949999999999997,-1.4049999999999994,1.0432901889921649,5.86,0.3000000000000007,0
PCBL,2082/2083,2025/2026,12.17,5.86,82.65,4.79,6.08,3.9,3.616910989625987,2.1356431427980165,5.56,11.74,83.39,0.3000000000000007,0.4299999999999997,1.4500000000000002,-0.5950000000000006,0.9098107565549696,,,
SANIMA,2072/2073,2015/2016,,,,,,,19.226780198852957,,,,,,,,,0.8450321220373098,,,
SANIMA,2073/2074,2016/2017,,,,,,,15.465286399601899,,,,,,,,,1.7242019797514434,0.03,,
SANIMA,2074/2075,2017/2018,12.91,0.03,76.99,7.42,10.66,4.66,16.534423216126232,,,,,,,-0.575,-0.19500000000000028,0.5085684123103142,0.08,0.05,0
SANIMA,2075/2076,2018/2019,13.11,0.08,77.91,7.39,9.45,4.35,18.85136080367256,,0.03,12.91,76.99,0.05,0.1999999999999993,-0.5650000000000001,-0.1850000000000005,1.5050300884362322,0.48,0.39999999999999997,0
SANIMA,2076/2077,2019/2020,12.97,0.48,74.72,6.66,8.62,3.47,13.363159883782858,11.466332227931632,0.08,13.11,77.91,0.39999999999999997,-0.1399999999999988,-0.51,-0.3899999999999988,0.11297107747475899,0.16,-0.31999999999999995,0
